OLD_CODE,NEW_CODE
200, 300-101-22-0100
243, 300-101-25-0080
386, 300-101-10-0100
242, 300-101-26-0080
244, 300-101-23-0100
225, 602-126-23-0130
74, 602-127-31-0130
214, 602-128-24-0160
290, 602-101-11-0130
79, 602-101-24-0130
312, 602-115-22-0120
371, 602-115-25-0100
372, 602-115-26-0100
80, 602-115-23-0130
81, 602-115-24-0130
375, 602-115-24-0160
219, 602-105-22-0100
228, 602-118-22-0140
93, 602-118-22-0160
94, 602-118-23-0160
95, 602-118-24-0160
250, 602-129-22-0200
223, 602-129-23-0200
313, 602-106-16-0100
217, 602-130-23-0200
218, 602-130-24-0200
251, 602-131-23-0200
220, 602-132-22-0120
221, 602-132-23-0130
222, 602-132-24-0130
226, 602-133-23-0160
227, 602-133-24-0160
216, 602-134-23-0200
102, 602-135-16-0130
101, 602-135-22-0130
103, 602-135-23-0130
104, 602-135-24-0130
206, 602-135-32-0150
373, 602-136-22-0130
