OLD_CODE,NEW_CODE
127, 200-101-12-0100
128, 200-101-13-0100
264, 200-101-14-0100
279, 200-101-15-0140
171, 200-102-14-0100
385, 200-103-16-0100
332, 200-103-16-0120
333, 200-103-16-0140
384, 200-103-16-0150
382, 600-104-16-0250
70, 601-105-17-0240
71, 601-105-18-0250
72, 601-106-19-0380
383, 602-103-16-0060
367, 603-107-18-0200
122, 603-107-20-0150
125, 603-108-19-0180
126, 603-108-18-0180
254, 603-108-21-0200
374, 603-108-22-0230
344, 603-108-23-0300
345, 603-108-24-0300
131, 603-101-19-0150
132, 603-101-19-0180
133, 603-101-18-0180
224, 603-101-18-0200
134, 603-101-21-0200
140, 603-101-16-0180
141, 603-101-16-0200
138, 603-101-22-0180
139, 603-101-22-0200
136, 603-101-25-0160
137, 603-101-25-0180
135, 603-101-26-0160
142, 603-101-23-0180
143, 603-101-24-0200
146, 603-109-22-0180
147, 603-109-22-0200
144, 603-109-26-0160
145, 603-109-26-0180
265, 603-109-23-0200
149, 603-110-22-0200
148, 603-110-26-0200
150, 603-110-23-0200
377, 603-111-22-0230
153, 603-112-16-0200
151, 603-112-25-0200
152, 603-112-23-0200
154, 603-113-21-0180
155, 603-113-27-0180
156, 603-113-28-0180
157, 603-114-19-0200
158, 603-114-20-0220
381, 603-104-16-0280
350, 603-115-17-0180
266, 603-115-19-0200
159, 603-115-18-0200
365, 603-115-21-0160
295, 603-115-21-0200
366, 603-115-20-0160
160, 603-115-20-0200
349, 603-115-28-0220
378, 603-115-23-0220
322, 603-116-17-0180
162, 603-116-19-0200
163, 603-116-18-0200
164, 603-116-21-0200
270, 603-116-20-0200
342, 603-117-22-0280
343, 603-117-23-0280
165, 603-118-18-0180
166, 603-118-21-0180
167, 603-118-20-0180
193, 603-119-17-0120
169, 603-119-18-0130
170, 603-119-20-0130
352, 603-119-29-0160
340, 603-120-21-0180
341, 603-120-27-0180
172, 603-102-17-0120
173, 603-102-18-0120
174, 603-102-18-0130
175, 603-102-18-0150
176, 603-102-20-0150
177, 603-102-20-0180
178, 603-102-27-0150
179, 603-102-27-0180
180, 603-102-28-0180
369, 603-121-18-0150
370, 603-121-20-0150
348, 603-122-20-0150
337, 603-123-22-0170
338, 603-123-25-0170
339, 603-123-23-0170
183, 603-103-19-0100
237, 603-103-25-0200
272, 603-124-21-0220
368, 603-124-30-0280
186, 603-124-22-0220
185, 603-124-25-0220
184, 603-124-26-0220
187, 603-124-23-0220
247, 603-124-24-0220
188, 603-125-19-0180
189, 603-125-18-0200
190, 603-125-21-0200
191, 603-125-20-0200
336, 603-125-27-0230
192, 603-125-28-0200
